Column,Transformation,Lambda,skewness_after
WB,Yeo-Johnson,0.12569449214745218,0.3559337956935173
DMP,Yeo-Johnson,-0.8498907255569496,0.020304434963334228
GL,Yeo-Johnson,9.691542662527386,0.38944091842919965
DFS,Yeo-Johnson,-0.0008204089534622744,-0.0006357448849211671
DR,Yeo-Johnson,0.3231280958497367,-0.3505296447404787
DM,Yeo-Johnson,-0.10564049650831443,0.01943220384736994
AI,Yeo-Johnson,-0.4713598821663272,0.06343803999417891
